release_year,decade,is_modern,is_summer,is_awards,log_adj_budget,popularity,vote_average,log_vote_count,has_rating,director_popularity,director_experience,actor_popularity,avg_actor_popularity,actor_experience,producer_popularity,genre_count,budget_popularity_ratio,director_x_budget,actor_x_budget,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Adventure,genre_Crime,genre_Romance,genre_Horror,genre_Science_Fiction,genre_Fantasy,genre_Family,genre_Mystery,genre_Animation,genre_History,genre_War,target
1947.0,1940.0,0.0,1.0,0.0,14.725715246223949,3.1764,7.367,6.726233402358747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5259350747591105,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Hit
1947.0,1940.0,0.0,0.0,0.0,15.705353062519215,1.5419,7.287,5.855071922202427,1.0,1.9973614775725592,1.0,18.789873449759554,6.263291149919851,3.0,2.4388046204105054,2.0,6.178588088642045,31.369267198752098,98.36719884284324,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Avg
1947.0,1940.0,0.0,0.0,1.0,16.020659536547797,1.9758,7.349,6.5722825426940075,1.0,0.0,0.0,2.0000000000000004,0.6666666666666669,1.0,0.0,4.0,5.383647938889642,0.0,10.680439691031868,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Flop
1948.0,1940.0,0.0,0.0,0.0,16.52275143683157,2.3166,8.0,7.188412736496954,1.0,3.7253333333333316,1.0,14.353430117117043,4.784476705705681,4.0,0.9581898671913424,3.0,4.981834238928894,61.55275668600984,79.05271936368572,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1948.0,1940.0,0.0,0.0,0.0,15.593215580512377,2.4002,7.9,7.9976631270201,1.0,3.6403193329447197,4.0,3.7163716981132073,1.2387905660377359,2.0,0.0,3.0,4.585970113673424,56.76428414051402,19.316728355331367,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1948.0,1940.0,0.0,1.0,0.0,16.10404113666812,2.9731,7.0,5.993961427306569,1.0,3.03858769905942,2.0,0.0,0.0,0.0,13.883602678571426,1.0,4.0532685149299335,48.93354130302662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1948.0,1940.0,0.0,0.0,0.0,14.494603629895435,2.6018,7.977,6.608000625296087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.024266652755688,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1948.0,1940.0,0.0,1.0,0.0,14.206921726469195,2.4285,7.6,5.529429087511423,1.0,0.04999999999999998,1.0,0.0,0.0,0.0,0.04999999999999998,4.0,4.143771832133352,0.7103460863234595,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1949.0,1940.0,0.0,0.0,1.0,16.286362676559513,3.4756,6.6,5.493061443340548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.638922753722297,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hit
1949.0,1940.0,0.0,0.0,0.0,16.208761437355438,2.3138,7.39,5.43372200355424,1.0,0.0,0.0,0.0,0.0,0.0,11.155191573640622,3.0,4.89129139880362,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Avg
