movie_id,title,release_date,genres,director,actors,producers,budget,revenue,popularity,vote_average,vote_count,production_companies
10285,Jason Goes to Hell: The Final Friday,1993-08-13,"Horror, Thriller",Adam Marcus,"Kane Hodder, John D. LeMay, Kari Keegan, Steven Williams, Steven Culp","Debbie Hayn-Cass, Sean S. Cunningham",3000000,15935068,3.1308,4.593,1091,['Sean S. Cunningham Films']
399170,Logan Lucky,2017-08-17,"Comedy, Crime, Action, Drama",Steven Soderbergh,"Channing Tatum, Adam Driver, Daniel Craig, Riley Keough, Katie Holmes","Reid Carolin, Gregory Jacobs",29000000,48453605,3.8189,6.736,3800,['Fingerprint Releasing']
13179,Tinker Bell,2008-09-11,"Animation, Family, Adventure, Fantasy",Bradley Raymond,"Mae Whitman, Kristin Chenoweth, Raven-Symoné, Lucy Liu, America Ferrera",Jeannine Roussel,48000000,9208064,4.1337,6.914,1553,"['DisneyToon Studios', 'Prana Animation Studios']"
72358,A Thousand Words,2012-03-07,"Drama, Comedy, Fantasy",Brian Robbins,"Eddie Murphy, Kerry Washington, Cliff Curtis, Clark Duke, Allison Janney","Nicolas Cage, Alain Chabat",40000000,22044277,1.8465,6.099,1389,"['Paramount Pictures', 'Saturn Films', 'Varsity Pictures', 'DreamWorks Pictures']"
18329,Happy Together,1997-05-30,"Drama, Romance",Wong Kar-Wai,"Leslie Cheung, Tony Leung Chiu-wai, Chang Chen, Gregory Dayton","Wong Kar-Wai, Chan Ye-cheng",125000,5000000,4.3009,7.6,789,"['Block 2 Pictures', 'Seowoo Film Company', 'Prénom H Co. Ltd.', 'Jet Tone Production']"
11442,Halloween: Resurrection,2002-07-01,"Horror, Thriller",Rick Rosenthal,"Jamie Lee Curtis, Brad Loree, Busta Rhymes, Bianca Kajlich, Katee Sackhoff","Paul Freeman, Michael Leahy",13000000,37664958,2.264,4.613,1389,"['Dimension Films', 'Nightfall Productions', 'Trancas International Films', 'Miramax']"
440472,The Upside,2019-01-10,"Comedy, Drama",Neil Burger,"Kevin Hart, Bryan Cranston, Nicole Kidman, Golshifteh Farahani, Aja Naomi King","Todd Black, Jason Blumenthal",37500000,125856180,3.1351,7.136,1387,['Escape Artists']
323676,The Boss,2016-04-07,Comedy,Ben Falcone,"Melissa McCarthy, Kristen Bell, Peter Dinklage, Kathy Bates, Tyler Labine","Ben Falcone, Melissa McCarthy",29000000,78844582,3.2435,5.8,1385,"['Universal Pictures', 'On the Day', 'Gary Sanchez Productions']"
687163,Project Hail Mary,2026-03-15,"Science Fiction, Adventure",Phil Lord,"Ryan Gosling, James Ortiz, Sandra Hüller, Lionel Boyce, Milana Vayntrub","Rachel O'Connor, Ryan Gosling",200000000,510218578,308.6168,8.23,1380,"['Lord Miller', 'Amazon MGM Studios', 'Pascal Pictures', 'Open Invite Entertainment', 'Waypoint Entertainment']"
12107,Nutty Professor II: The Klumps,2000-07-27,"Fantasy, Comedy, Romance, Science Fiction",Peter Segal,"Eddie Murphy, Janet Jackson, Larry Miller, John Ales, Richard Gant",Brian Grazer,84000000,123307945,2.3129,5.013,1384,"['Universal Pictures', 'Imagine Entertainment', 'Eddie Murphy Productions']"
218043,Left Behind,2014-10-03,"Thriller, Action, Science Fiction",Vic Armstrong,"Nicolas Cage, Chad Michael Murray, Lea Thompson, Nicky Whelan, Martin Klebba","Ed Clydesdale, Michael Walker",16000000,19682924,3.4737,4.268,1385,['Stoney Lake Entertainment']
290864,Kung Fu Jungle,2014-10-31,"Action, Thriller, Crime, Adventure",Teddy Chan,"Donnie Yen, Charlie Yeung Choi-Nei, Wang Baoqiang, Michelle Bai, Deep Ng Ho-Hong","Alex Dong, Catherine Hun",25000000,129115,3.7828,6.8,511,"['Heart & Soul Production', 'Beijing Silver Moon Productions', 'Emperor Motion Pictures']"
266856,The Theory of Everything,2014-11-07,"Drama, Romance",James Marsh,"Eddie Redmayne, Felicity Jones, Charlie Cox, Emily Watson, Simon McBurney","Lisa Bruce, Anthony McCarten",15000000,123726688,3.5901,7.833,11058,"['Working Title Films', 'Working Title Films']"
1016084,BlackBerry,2023-02-13,"Comedy, Drama, History",Matt Johnson,"Jay Baruchel, Glenn Howerton, Matt Johnson, Saul Rubinek, Cary Elwes","Niv Fichman, Kevin Krikst",5000000,2600000,3.4941,7.144,852,"['Zapruder Films', 'Rhombus Media', 'XYZ Films', 'IPR.VC', 'Canada Media Fund | Fonds des médias du Canada']"
